state_abbr,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,supply_detailed,demand_detailed,current_wage_oes,pct_change_group,bls_growth_10yr
AK,11-1,General and Operations Managers,Management,10,high,5562.93,5563.20,146320.00,2.08,0.04
AK,11-1,General and Operations Managers,Management,10,low,5586.65,5586.77,146320.00,1.62,0.04
AK,11-1,General and Operations Managers,Management,10,mid,5574.03,5574.23,146320.00,1.87,0.04
AK,11-2,Marketing Managers,Management,10,high,1474.72,1474.80,102350.00,2.08,0.05
AK,11-2,Marketing Managers,Management,10,low,1481.01,1481.04,102350.00,1.62,0.05
AK,11-2,Marketing Managers,Management,10,mid,1477.67,1477.72,102350.00,1.87,0.05
AK,11-3,Financial Managers,Management,10,high,5560.09,5560.36,120130.00,2.08,0.10
AK,11-3,Financial Managers,Management,10,low,5583.80,5583.92,120130.00,1.62,0.10
AK,11-3,Financial Managers,Management,10,mid,5571.19,5571.39,120130.00,1.87,0.10
AK,11-9,"Managers, All Other",Management,10,high,7949.67,7950.06,95210.00,2.08,0.06
AK,11-9,"Managers, All Other",Management,10,low,7983.57,7983.74,95210.00,1.62,0.06
AK,11-9,"Managers, All Other",Management,10,mid,7965.54,7965.82,95210.00,1.87,0.06
AK,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,high,6453.60,6469.70,78710.00,2.25,0.05
AK,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,low,6422.69,6428.36,78710.00,-0.04,0.05
AK,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,mid,6439.03,6450.19,78710.00,1.17,0.05
AK,13-2,Accountants and Auditors,Business and Financial Operations,500,high,2681.60,2688.29,81950.00,2.25,0.05
AK,13-2,Accountants and Auditors,Business and Financial Operations,500,low,2668.76,2671.12,81950.00,-0.04,0.05
AK,13-2,Accountants and Auditors,Business and Financial Operations,500,mid,2675.55,2680.19,81950.00,1.17,0.05
AK,15-1,Software Developers,Computer and Mathematical,1000,high,5422.13,5418.58,91200.00,-14.93,0.09
AK,15-1,Software Developers,Computer and Mathematical,1000,low,5416.60,5411.25,91200.00,-16.14,0.09
