met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
10420,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,low,77.64,0.00,0.00,0.00,0.00
10420,13-2,Accountants and Auditors,Business and Financial Operations,500,low,25.55,0.00,0.00,0.00,0.00
10420,15-1,Software Developers,Computer and Mathematical,1000,low,1212.61,812.84,199.70,0.00,0.00
10420,17-2,Mechanical Engineers,Architecture and Engineering,1300,low,551.43,0.00,0.00,0.00,0.00
10420,17-3,Architectural and Civil Drafters,Architecture and Engineering,1300,low,186.26,0.00,0.00,0.00,0.00
10420,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,704.49,408.61,0.00,0.00,0.00
10420,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,384.04,304.00,180.70,68.56,0.00
10420,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,1877.95,1486.57,883.63,335.24,0.00
10420,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,237.85,188.28,111.92,42.46,0.00
10420,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,462.82,366.37,217.77,82.62,0.00
10420,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,980.61,0.00,0.00,0.00,0.00
10420,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,497.38,0.00,0.00,0.00,0.00
10420,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,1599.67,1414.27,1127.73,866.09,626.22
10420,31-9,Medical Assistants,Healthcare Support,3600,low,516.98,457.06,364.46,279.90,202.38
10420,35-1,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving,4000,low,190.44,136.72,53.90,0.00,0.00
10420,35-2,"Cooks, Restaurant",Food Preparation and Serving,4000,low,393.82,282.74,111.47,0.00,0.00
10420,35-3,Fast Food and Counter Workers,Food Preparation and Serving,4000,low,1019.06,731.62,288.44,0.00,0.00
