met2013,state_abbr,metro_name,lat,lon,metro_name_short
10420,OH,"Akron, OH Metro Area",41.146639,-81.35011,Akron
10580,NY,"Albany-Schenectady-Troy, NY Metro Area",42.78792,-73.942348,Albany-Schenectady-Troy
10740,NM,"Albuquerque, NM Metro Area",35.123496,-106.458392,Albuquerque
10900,PA,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",40.789339,-75.398158,Allentown-Bethlehem-Easton
11100,TX,"Amarillo, TX Metro Area",35.247999,-101.90867,Amarillo
11260,AK,"Anchorage, AK Metro Area",62.212784,-149.678222,Anchorage
11460,MI,"Ann Arbor, MI Metro Area",42.252217,-83.843423,Ann Arbor
11500,AL,"Anniston-Oxford, AL Metro Area",33.770516,-85.827909,Anniston-Oxford
11700,NC,"Asheville, NC Metro Area",35.61634,-82.570683,Asheville
12060,GA,"Atlanta-Sandy Springs-Roswell, GA Metro Area",33.732402,-84.392848,Atlanta-Sandy Springs-Roswell
12100,NJ,"Atlantic City-Hammonton, NJ Metro Area",39.286186,-74.738311,Atlantic City-Hammonton
12220,AL,"Auburn-Opelika, AL Metro Area",32.492206,-85.527127,Auburn-Opelika
12260,GA,"Augusta-Richmond County, GA-SC Metro Area",33.460371,-81.982833,Augusta-Richmond County
12420,TX,"Austin-Round Rock-San Marcos, TX Metro Area",30.249744,-97.649842,Austin-Round Rock-San Marcos
12540,CA,"Bakersfield-Delano, CA Metro Area",35.346629,-118.729506,Bakersfield-Delano
12580,MD,"Baltimore-Columbia-Towson, MD Metro Area",39.304361,-76.549501,Baltimore-Columbia-Towson
12620,ME,"Bangor, ME Metro Area",45.409284,-68.666616,Bangor
12700,MA,"Barnstable Town, MA Metro Area",41.706123,-70.164823,Barnstable Town
12940,LA,"Baton Rouge, LA Metro Area",30.515242,-91.126926,Baton Rouge
13140,TX,"Beaumont-Port Arthur, TX Metro Area",30.075928,-94.202705,Beaumont-Port Arthur
13380,WA,"Bellingham, WA Metro Area",48.842653,-121.836432,Bellingham
13460,OR,"Bend, OR Metro Area",44.153837,-120.887072,Bend
13780,NY,"Binghamton, NY Metro Area",42.163928,-76.022943,Binghamton
13820,AL,"Birmingham, AL Metro Area",33.462372,-86.814338,Birmingham
13900,ND,"Bismarck, ND Metro Area",46.887031,-100.979592,Bismarck
13980,VA,"Blacksburg-Christiansburg-Radford, VA Metro Area",37.121364,-80.531517,Blacksburg-Christiansburg-Radford
14010,IL,"Bloomington, IL Metro Area",40.494559,-88.844539,Bloomington
14020,IN,"Bloomington, IN Metro Area",39.241736,-86.671754,Bloomington
14260,ID,"Boise City, ID Metro Area",43.006648,-116.141909,Boise City
14460,MA,"Boston-Cambridge-Newton, MA-NH Metro Area",42.517606,-71.021993,Boston-Cambridge-Newton
14740,WA,"Bremerton-Silverdale-Port Orchard, WA Metro Area",47.639595,-122.649634,Bremerton-Silverdale-Port Orchard
14860,CT,"Bridgeport-Stamford-Danbury, CT Metro Area",41.252442,-73.393266,Bridgeport-Stamford-Danbury
15180,TX,"Brownsville-Harlingen, TX Metro Area",26.102923,-97.478958,Brownsville-Harlingen
15380,NY,"Buffalo-Cheektowaga, NY Metro Area",43.044371,-78.777335,Buffalo-Cheektowaga
15500,NC,"Burlington, NC Metro Area",36.043954,-79.400573,Burlington
15540,VT,"Burlington-South Burlington, VT Metro Area",44.689115,-73.041175,Burlington-South Burlington
15940,OH,"Canton-Massillon, OH Metro Area",40.711051,-81.261468,Canton-Massillon
15980,FL,"Cape Coral-Fort Myers, FL Metro Area",26.563273,-81.984182,Cape Coral-Fort Myers
16580,IL,"Champaign-Urbana, IL Metro Area",40.234489,-88.298623,Champaign-Urbana
16620,WV,"Charleston, WV Metro Area",38.283213,-81.492557,Charleston
16700,SC,"Charleston-North Charleston, SC Metro Area",33.01754,-80.009947,Charleston-North Charleston
16740,NC,"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.166342,-80.797285,Charlotte-Concord-Gastonia
16860,TN,"Chattanooga, TN-GA Metro Area",35.049361,-85.361158,Chattanooga
16980,IL,"Chicago-Naperville-Elgin, IL-IN Metro Area",41.75878,-87.841887,Chicago-Naperville-Elgin
17020,CA,"Chico, CA Metro Area",39.665336,-121.603209,Chico
17140,OH,"Cincinnati, OH-KY-IN Metro Area",39.078585,-84.463514,Cincinnati
17300,TN,"Clarksville, TN-KY Metro Area",36.69571,-87.624307,Clarksville
17460,OH,"Canton-Massillon, OH Metro Area",40.711051,-81.261468,Canton-Massillon
17660,ID,"Coeur d'Alene, ID Metro Area",47.675957,-116.695919,Coeur d'Alene
17780,TX,"College Station-Bryan, TX Metro Area",30.754392,-96.488537,College Station-Bryan
17820,CO,"Colorado Springs, CO Metro Area",38.845507,-104.638728,Colorado Springs
17860,MO,"Columbia, MO Metro Area",38.986486,-92.585189,Columbia
17900,SC,"Columbia, SC Metro Area",34.077585,-81.037845,Columbia
18140,OH,"Columbus, OH Metro Area",39.968562,-82.835911,Columbus
18580,TX,"Corpus Christi, TX Metro Area",27.894817,-97.401668,Corpus Christi
19100,TX,"Dallas-Fort Worth-Arlington, TX Metro Area",32.849171,-96.970489,Dallas-Fort Worth-Arlington
19300,AL,"Daphne-Fairhope-Foley, AL Metro Area",30.659218,-87.746067,Daphne-Fairhope-Foley
19380,OH,"Dayton-Kettering-Beavercreek, OH Metro Area",39.829746,-84.140992,Dayton-Kettering-Beavercreek
19460,AL,"Decatur, AL Metro Area",34.489361,-87.097147,Decatur
19500,IL,"Decatur, IL Metro Area",39.860237,-88.961529,Decatur
19660,FL,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",29.1789,-81.189023,Deltona-Daytona Beach-Ormond Beach
19740,CO,"Denver-Aurora-Centennial, CO Metro Area",39.434789,-104.901073,Denver-Aurora-Centennial
19780,IA,"Des Moines-West Des Moines, IA Metro Area",41.57705,-93.759712,Des Moines-West Des Moines
19820,MI,"Detroit-Warren-Dearborn, MI Metro Area",42.721848,-83.200846,Detroit-Warren-Dearborn
20100,DE,"Dover, DE Metro Area",39.097088,-75.502982,Dover
20700,PA,"East Stroudsburg, PA Micro Area",41.05624,-75.329065,East Stroudsburg
20740,WI,"Eau Claire, WI Metro Area",44.938672,-91.284322,Eau Claire
20940,CA,"El Centro, CA Metro Area",33.040814,-115.3554,El Centro
21140,IN,"Elkhart-Goshen, IN Metro Area",41.600693,-85.863986,Elkhart-Goshen
21340,TX,"El Paso, TX Metro Area",31.527394,-105.521333,El Paso
21500,PA,"Erie, PA Metro Area",42.117952,-80.096386,Erie
21660,OR,"Eugene-Springfield, OR Metro Area",43.928334,-122.897581,Eugene-Springfield
22180,NC,"Fayetteville, NC Metro Area",35.037956,-78.982209,Fayetteville
22220,AR,"Fayetteville-Springdale-Rogers, AR Metro Area",36.116394,-94.079545,Fayetteville-Springdale-Rogers
22380,AZ,"Flagstaff, AZ Metro Area",35.829692,-111.773728,Flagstaff
22500,SC,"Florence, SC Metro Area",34.153574,-79.806164,Florence
22660,CO,"Fort Collins-Loveland, CO Metro Area",40.658093,-105.486764,Fort Collins-Loveland
23060,IN,"Fort Wayne, IN Metro Area",41.006999,-85.216424,Fort Wayne
23420,CA,"Fresno, CA Metro Area",36.879404,-119.668488,Fresno
23460,AL,"Gadsden, AL Metro Area",34.047641,-86.034263,Gadsden
23540,FL,"Gainesville, FL Metro Area",29.453355,-82.666257,Gainesville
23580,GA,"Gainesville, GA Metro Area",34.317569,-83.8185,Gainesville
24020,NY,"Glens Falls, NY Metro Area",43.44045,-73.636757,Glens Falls
24140,NC,"Goldsboro, NC Metro Area",35.35419,-78.00867,Goldsboro
24300,CO,"Grand Junction, CO Metro Area",39.019524,-108.460571,Grand Junction
24340,MI,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",42.979841,-85.715614,Grand Rapids-Wyoming-Kentwood
24660,NC,"Greensboro-High Point, NC Metro Area",36.025204,-79.792633,Greensboro-High Point
24780,NC,"Greenville, NC Metro Area",35.59249,-77.372739,Greenville
24860,SC,"Greenville-Anderson-Greer, SC Metro Area",34.683709,-82.413423,Greenville-Anderson-Greer
25060,MS,"Gulfport-Biloxi, MS Metro Area",30.480153,-88.999297,Gulfport-Biloxi
25260,CA,"Hanford-Corcoran, CA Metro Area",36.072478,-119.81553,Hanford-Corcoran
25420,PA,"Harrisburg-Carlisle, PA Metro Area",40.335915,-77.05049,Harrisburg-Carlisle
25500,VA,"Harrisonburg, VA Metro Area",38.507585,-78.885321,Harrisonburg
25540,CT,"Hartford-West Hartford-East Hartford, CT Metro Area",41.688038,-72.545112,Hartford-West Hartford-East Hartford
25860,NC,"Hickory-Lenoir-Morganton, NC Metro Area",35.814295,-81.456584,Hickory-Lenoir-Morganton
25940,SC,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",32.386792,-80.830877,Hilton Head Island-Bluffton-Port Royal
26140,FL,"Homosassa Springs, FL Metro Area",28.850292,-82.595552,Homosassa Springs
26380,LA,"Houma-Bayou Cane-Thibodaux, LA Metro Area",29.33413,-90.843674,Houma-Bayou Cane-Thibodaux
26420,TX,"Houston-Pasadena-The Woodlands, TX Metro Area",29.801005,-95.34262,Houston-Pasadena-The Woodlands
26620,AL,"Huntsville, AL Metro Area",34.783262,-86.734871,Huntsville
26900,IN,"Indianapolis-Carmel-Greenwood, IN Metro Area",39.790533,-86.12426,Indianapolis-Carmel-Greenwood
26980,IA,"Iowa City, IA Metro Area",41.517806,-91.64793,Iowa City
27060,NY,"Ithaca, NY Metro Area",42.453006,-76.473483,Ithaca
27100,MI,"Jackson, MI Metro Area",42.248474,-84.420868,Jackson
27140,MS,"Jackson, MS Metro Area",32.426311,-90.136422,Jackson
27180,TN,"Jackson, TN Metro Area",35.753215,-88.882692,Jackson
27260,FL,"Jacksonville, FL Metro Area",30.234184,-81.756033,Jacksonville
27500,WI,"Janesville-Beloit, WI Metro Area",42.66988,-89.075284,Janesville-Beloit
27620,MO,"Jefferson City, MO Metro Area",38.636885,-92.088876,Jefferson City
27780,PA,"Johnstown, PA Metro Area",40.510209,-78.710488,Johnstown
27900,MO,"Joplin, MO-KS Metro Area",37.092135,-94.500651,Joplin
28020,MI,"Kalamazoo-Portage, MI Metro Area",42.246266,-85.532854,Kalamazoo-Portage
28100,IL,"Kankakee, IL Metro Area",41.13951,-87.861117,Kankakee
28140,MO,"Kansas City, MO-KS Metro Area",38.931857,-94.443841,Kansas City
28940,TN,"Knoxville, TN Metro Area",36.044462,-84.136114,Knoxville
29100,WI,"La Crosse-Onalaska, WI-MN Metro Area",43.698264,-91.11014,La Crosse-Onalaska
29180,LA,"Lafayette, LA Metro Area",30.012961,-92.136552,Lafayette
29200,IN,"Lafayette-West Lafayette, IN Metro Area",40.482153,-87.017112,Lafayette-West Lafayette
29420,AZ,"Lake Havasu City-Kingman, AZ Metro Area",35.717705,-113.749689,Lake Havasu City-Kingman
29460,FL,"Lakeland-Winter Haven, FL Metro Area",27.953685,-81.693493,Lakeland-Winter Haven
29540,PA,"Lancaster, PA Metro Area",40.041992,-76.250198,Lancaster
29620,MI,"Lansing-East Lansing, MI Metro Area",42.713659,-84.605372,Lansing-East Lansing
29700,TX,"Laredo, TX Metro Area",27.760799,-99.340752,Laredo
29740,NM,"Las Cruces, NM Metro Area",32.349919,-106.834968,Las Cruces
29820,NV,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",36.21413,-115.014398,Las Vegas-Henderson-North Las Vegas
29940,KS,"Lawrence, KS Metro Area",38.896417,-95.290947,Lawrence
30140,PA,"Lebanon, PA Metro Area",40.371448,-76.464819,Lebanon
30340,ME,"Lewiston-Auburn, ME Metro Area",44.167681,-70.207435,Lewiston-Auburn
30620,OH,"Lima, OH Metro Area",40.771627,-84.106103,Lima
30700,NE,"Lincoln, NE Metro Area",40.817429,-96.868801,Lincoln
30780,AR,"Little Rock-North Little Rock-Conway, AR Metro Area",34.755773,-92.400589,Little Rock-North Little Rock-Conway
31080,CA,"Los Angeles-Long Beach-Anaheim, CA Metro Area",34.108703,-118.182753,Los Angeles-Long Beach-Anaheim
31140,KY,"Louisville/Jefferson County, KY-IN Metro Area",38.224363,-85.701989,Louisville/Jefferson County
31180,TX,"Lubbock, TX Metro Area",33.469794,-101.880412,Lubbock
31340,VA,"Lynchburg, VA Metro Area",37.364926,-79.216689,Lynchburg
31460,CA,"Madera, CA Metro Area",36.961,-120.06,Madera
31700,NH,"Manchester-Nashua, NH Metro Area",42.911532,-71.723055,Manchester-Nashua
31900,OH,"Mansfield, OH Metro Area",40.774159,-82.542781,Mansfield
32580,TX,"McAllen-Edinburg-Mission, TX Metro Area",26.396384,-98.18099,McAllen-Edinburg-Mission
32780,OR,"Medford, OR Metro Area",42.411621,-122.675611,Medford
32820,TN,"Memphis, TN-MS-AR Metro Area",35.010307,-89.820503,Memphis
32900,CA,"Merced, CA Metro Area",37.194806,-120.722802,Merced
33100,FL,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",26.101828,-80.478755,Miami-Fort Lauderdale-West Palm Beach
33140,IN,"Michigan City-La Porte, IN Metro Area",41.549013,-86.744739,Michigan City-La Porte
33260,TX,"Midland, TX Metro Area",32.092359,-101.994539,Midland
33340,WI,"Milwaukee-Waukesha, WI Metro Area",42.912643,-87.862312,Milwaukee-Waukesha
33460,MN,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45.096664,-93.275361,Minneapolis-St. Paul-Bloomington
33660,AL,"Mobile, AL Metro Area",30.684572,-88.196568,Mobile
33700,CA,"Modesto, CA Metro Area",37.562316,-121.002831,Modesto
33740,LA,"Monroe, LA Metro Area",32.67396,-92.058318,Monroe
33780,MI,"Monroe, MI Metro Area",41.916097,-83.487106,Monroe
33860,AL,"Montgomery, AL Metro Area",32.365631,-86.404585,Montgomery
34060,WV,"Morgantown, WV Metro Area",39.525155,-79.801912,Morgantown
