occ_group,met2013,period,total_emp,emp_20_29,emp_30_54,emp_55_plus,mean_wage,share_foreign_born,share_college,n_obs,share_20_29,share_30_54,share_55_plus,log_emp,log_wage,occ_group_code,dominant_statefip
Architecture and Engineering,10420,P1,5974.0,1024.4,3765.8,1183.8,69491.47349596788,0.11610311349179779,0.6732507532641446,282.0,0.17147639772346837,0.6303649146300636,0.19815868764646802,8.695171998776056,11.148959340515392,1300,39
Architecture and Engineering,10420,P2,6577.4,1946.4,3416.4,1214.6,72181.82816695143,0.10390123757107673,0.7010976981786116,333.0,0.29592240094870315,0.5194149664000973,0.18466263265119956,8.79139480945414,11.186943605763974,1300,39
Architecture and Engineering,10420,P3,7596.799999999999,1886.0,4039.8,1671.0,77951.56580108576,0.0885636057287279,0.6670966722830667,363.0,0.2482624262847515,0.5317765374894693,0.21996103622577928,8.935482384975295,11.263842961533513,1300,39
Architecture and Engineering,10580,P1,9914.599999999999,1662.4,6164.400000000001,2087.8,80449.12107770659,0.1775765033385109,0.7451838702519518,519.0,0.16767191818126806,0.6217497428035424,0.21057833901518977,9.201763697225323,11.29538022728573,1300,36
Architecture and Engineering,10580,P2,13167.0,2707.2,8404.8,2055.0,89080.15590028556,0.1928001822738665,0.7383306751727803,664.0,0.20560492139439507,0.6383230804283435,0.15607199817726133,9.485468978356344,11.397291871485237,1300,36
Architecture and Engineering,10580,P3,13814.4,3215.2,8404.8,2194.3999999999996,93214.52197519994,0.1857337271253185,0.76772063933287,683.0,0.232742645355571,0.608408617095205,0.158848737549224,9.533466805361158,11.442658803720306,1300,36
Architecture and Engineering,10740,P1,11667.6,1265.2,7821.200000000001,2581.2,80461.13967064564,0.08382186567931708,0.6645411224244918,511.0,0.10843703932256848,0.6703349446330008,0.2212280160444307,9.364571048603612,11.295529609841019,1300,35
Architecture and Engineering,10740,P2,10167.0,1340.0,6579.2,2247.7999999999997,92322.41341495026,0.1206452247467296,0.6510278351529458,456.0,0.13179895741123243,0.6471132094029703,0.22108783318579717,9.226902460275161,11.433042223243284,1300,35
Architecture and Engineering,10740,P3,13401.8,2625.0,7834.2,2942.6,99969.24430408301,0.09718097568983272,0.7388410512020773,580.0,0.195869211598442,0.5845632676207674,0.21956752078079064,9.503144305275965,11.512617860705717,1300,35
Architecture and Engineering,10900,P1,7678.8,1725.6000000000001,4632.0,1321.2,66826.33992616033,0.15473771943532844,0.5806115538886284,331.0,0.22472261290826692,0.6032192530082825,0.17205813408345055,8.946218563933416,11.109852592076733,1300,42
Architecture and Engineering,10900,P2,7335.8,1628.0,4019.6000000000004,1688.1999999999998,83164.37453677015,0.1645355653098503,0.6382671283295618,329.0,0.22192535238147168,0.5479429646391668,0.23013168297936146,8.90052175075114,11.32857434444568,1300,42
Architecture and Engineering,10900,P3,7792.6,1985.4,3897.6000000000004,1909.6,92443.41238129833,0.1654646716115289,0.7168339193593922,351.0,0.2547801760644714,0.5001668249364782,0.24505299899905036,8.960929844411254,11.434351978260198,1300,42
Architecture and Engineering,11100,P1,1612.0,330.80000000000007,987.9999999999999,293.2,64367.305764411016,0.11277915632754343,0.567741935483871,101.0,0.20521091811414396,0.6129032258064515,0.18188585607940447,7.385230923066573,11.072361108716464,1300,48
Architecture and Engineering,11100,P2,1519.9999999999998,375.40000000000003,845.8,298.8,86941.6951469583,0.1822368421052632,0.6826315789473685,92.0,0.24697368421052637,0.5564473684210527,0.1965789473684211,7.326465613840322,11.372993002247322,1300,48
Architecture and Engineering,11100,P3,1887.0,321.59999999999997,1250.0,315.4,82021.91059531485,0.08330683624801272,0.4980392156862744,102.0,0.17042925278219395,0.6624271330153683,0.16714361420243773,7.54274354536855,11.31474169293608,1300,48
Architecture and Engineering,11260,P1,5185.0,916.5999999999999,3452.6000000000004,815.8,88026.96413154383,0.08752169720347154,0.6270395371263259,170.0,0.17677917068466728,0.6658823529411766,0.1573384763741562,8.553525120663627,11.385398457111933,1300,2
Architecture and Engineering,11260,P2,4549.799999999999,1377.8,2296.3999999999996,875.6,96959.71461593172,0.03661699415358918,0.6898764780869491,146.0,0.30282649786803817,0.5047254824387886,0.19244801969317335,8.422838554934945,11.482050857981275,1300,2
Architecture and Engineering,11260,P3,5660.6,1051.8,3376.2,1232.6,102540.69468267582,0.12026993604918206,0.6974878988093134,170.0,0.18581069144613643,0.5964385400840899,0.21775076846977348,8.641285172646015,11.538015020062899,1300,2
Architecture and Engineering,11460,P1,6481.0,1179.0,4025.8,1276.1999999999998,77079.71700483699,0.208393766394075,0.8320320938126832,283.0,0.18191637093041196,0.6211695725968215,0.19691405647276652,8.776630098427717,11.252595451074196,1300,26
Architecture and Engineering,11460,P2,7077.6,1829.8000000000002,3686.2,1561.6,93888.55520360699,0.2791059116084548,0.8693907539278852,309.0,0.2585339663162654,0.5208262687916807,0.22063976489205378,8.864690146169176,11.449863774952354,1300,26
Architecture and Engineering,11460,P3,8822.2,2281.2,4737.6,1803.4,104571.68425399157,0.2558092085874272,0.9040602117385687,416.0,0.2585749586270998,0.5370089093423409,0.20441613203055928,9.085026551004148,11.557628088936978,1300,26
Architecture and Engineering,11700,P1,1749.5999999999997,281.0,1265.9999999999998,202.6,73974.61133973481,0.07807498856881574,0.5426383173296755,86.0,0.16060813900320076,0.7235939643347051,0.11579789666209421,7.467142469362558,11.211477223313883,1300,37
