met2013,occ_group,occ_group_code,dominant_statefip,total_emp,emp_projected,metro_demand_current,metro_demand_projected,metro_supply_projected,growth_rate_regression,stock_gap,stock_gap_pct,gap_severity,gap_category
10420,Architecture and Engineering,1300,39,7596.799999999999,8104.498604566494,29626.239816444267,30212.954987685756,31606.178818834887,0.0668305871638709,-1393.223831149131,-0.04611345800889,0.0,Moderate Surplus
10580,Architecture and Engineering,1300,36,13814.4,14771.826677333662,54104.82102508725,55176.307637272985,57854.63274487109,0.06930642498651134,-2678.3251075981025,-0.048541216733916176,0.0,Moderate Surplus
10740,Architecture and Engineering,1300,35,13401.8,14501.315602147004,52913.75707963505,53961.65597731347,57254.927778890014,0.0820423825267505,-3293.271801576542,-0.06102985058429448,0.0,Moderate Surplus
10900,Architecture and Engineering,1300,42,7792.6,8665.348868176616,30324.572739366053,30925.117627878248,33720.83798283051,0.11199713422690954,-2795.7203549522637,-0.09040290124659023,0.0,Moderate Surplus
11100,Architecture and Engineering,1300,48,1887.0,2101.9447513784,7377.334303146912,7523.434314008704,8217.673088321928,0.11390818832983562,-694.238774313224,-0.09227684397011947,0.0,Moderate Surplus
11260,Architecture and Engineering,1300,2,5660.6,6038.482036997673,22313.63499240139,22755.53204908828,23803.2159279473,0.06675653411258045,-1047.6838788590212,-0.04604084301781894,0.0,Moderate Surplus
11460,Architecture and Engineering,1300,26,8822.2,8592.765341600812,34358.32819453518,35038.75718367199,33464.78788798121,-0.026006512933189934,1573.9692956907747,0.04492080833347144,8.984161666694288,Moderate Shortage
11700,Architecture and Engineering,1300,37,3445.0,3775.0073396398616,13477.88010743716,13744.794733937213,14768.96845525729,0.09579313197093224,-1024.1737213200777,-0.07451356976552694,0.0,Moderate Surplus
12060,Architecture and Engineering,1300,13,65987.4,74554.87806629928,259369.30257494884,264505.82701132295,293044.53164719924,0.12983506042516127,-28538.70463587629,-0.10789442697099677,0.0,Large Surplus
12100,Architecture and Engineering,1300,34,1640.7999999999995,1845.6348498173445,6467.544428537857,6595.627049228563,7274.942339134249,0.1248384018877042,-679.3152899056859,-0.10299480016614036,0.0,Large Surplus
12220,Architecture and Engineering,1300,1,858.6,673.7656642713674,3332.0388481500568,3398.0262213532715,2614.7372092963255,-0.21527409239300324,783.2890120569459,0.2305129392865601,46.102587857312024,Severe Shortage
12260,Architecture and Engineering,1300,13,5858.8,6512.65899126695,22914.643836987412,23368.44321436548,25471.984231691793,0.11160288647281857,-2103.5410173263117,-0.09001630951749426,0.0,Moderate Surplus
12420,Architecture and Engineering,1300,48,41569.8,46752.834843542565,162628.21339579564,165848.88671317862,182905.13790766447,0.12468269858268652,-17056.25119448584,-0.10284212051409884,0.0,Large Surplus
12540,Architecture and Engineering,1300,6,6688.200000000001,7765.117325277501,26110.17216496899,26627.255474488797,30314.367130794388,0.16101751222713134,-3687.111656305591,-0.13847133662867214,0.0,Large Surplus
12580,Architecture and Engineering,1300,24,34573.8,36471.95624611553,136130.60202285287,138826.519222332,143604.3871583354,0.05490157998587156,-4777.8679360034,-0.03441610408996569,0.0,Moderate Surplus
12620,Architecture and Engineering,1300,23,755.1999999999999,828.5805213400425,2956.0053873528736,3014.545830479539,3243.2315743337113,0.0971670038930649,-228.68574385417242,-0.07586076202324456,0.0,Moderate Surplus
12700,Architecture and Engineering,1300,25,1716.2000000000005,1954.0232051719404,6774.390562108637,6908.549933778144,7713.154853314332,0.13857546041949645,-804.6049195361884,-0.11646509430325078,0.0,Large Surplus
12940,Architecture and Engineering,1300,22,9075.0,9791.245267497594,35523.43064681664,36226.93321157559,38327.120904233874,0.0789250983468423,-2100.1876926582845,-0.05797310195683944,0.0,Moderate Surplus
13140,Architecture and Engineering,1300,48,3747.8,4044.165232322059,14581.476094995996,14870.246229074255,15734.537237664237,0.07907712052992662,-864.2910085899821,-0.05812217197184827,0.0,Moderate Surplus
13380,Architecture and Engineering,1300,53,2762.2,3141.6687437795995,10817.529126526912,11031.7584210038,12303.632300968444,0.13737917014683937,-1271.8738799646435,-0.11529203517936656,0.0,Large Surplus
13460,Architecture and Engineering,1300,41,1166.8000000000002,910.6392738484694,4605.774742397281,4696.987057339301,3594.6172153979096,-0.21954124627316654,1102.3698419413913,0.2346972279216477,46.93944558432954,Severe Shortage
13780,Architecture and Engineering,1300,36,1514.8,1096.6618069757717,5898.333460535525,6015.143482589578,4270.185523485969,-0.2760352475734277,1744.957959103609,0.2900941538891418,58.018830777828356,Severe Shortage
13820,Architecture and Engineering,1300,1,10616.2,12025.197518779263,41507.47754184431,42329.48758917566,47016.41038667058,0.13272145577318273,-4686.922797494917,-0.11072477047167091,0.0,Large Surplus
13900,Architecture and Engineering,1300,38,1719.8000000000002,1733.9579780933732,6714.030659532262,6846.994669563044,6769.302841760365,0.008232339861247238,77.69182780267965,0.011346850925420354,2.2693701850840706,Balanced
13980,Architecture and Engineering,1300,51,1832.2,1956.1563370440165,7158.818679919164,7300.591228636068,7643.144048942775,0.06765437018012031,-342.55282030670696,-0.046921243715586626,0.0,Moderate Surplus
14010,Architecture and Engineering,1300,17,1380.6,1515.50000312855,5379.2875044319835,5485.818390864901,5904.9038315196585,0.09771114235010141,-419.0854406547578,-0.07639433367911479,0.0,Moderate Surplus
14020,Architecture and Engineering,1300,18,2345.0,2503.856109879892,9130.912363786556,9311.74006397065,9749.462989699281,0.06774247756072146,-437.7229257286308,-0.04700764011038984,0.0,Moderate Surplus
14260,Architecture and Engineering,1300,16,11393.2,13536.11868099364,44599.92653346667,45483.17913979021,52988.61590427642,0.18808751544725275,-7505.436764486207,-0.16501565867721413,0.0,Large Surplus
14460,Architecture and Engineering,1300,25,75720.2,79685.5475539572,296859.5156899248,302738.4926597259,312405.5807347869,0.0523684241979975,-9667.088075061038,-0.03193214047586185,0.0,Moderate Surplus
14740,Architecture and Engineering,1300,53,5469.200000000001,5781.801288624675,21330.91563870336,21753.35101690998,22550.119858004702,0.05715667531351466,-796.768841094723,-0.036627406990093356,0.0,Moderate Surplus
14860,Architecture and Engineering,1300,9,8891.4,9708.25368953687,34817.13460152583,35506.649748113334,38015.787778568614,0.09187008677338447,-2509.1380304552804,-0.07066670745494948,0.0,Moderate Surplus
15180,Architecture and Engineering,1300,48,1469.0000000000002,1823.4523817768804,5766.191142134448,5880.384230569881,7157.505086389249,0.24128821087602462,-1277.1208558193684,-0.21718323254798605,0.0,Large Surplus
15380,Architecture and Engineering,1300,36,11600.8,12820.72844443433,45348.00748121811,46246.075009856526,50116.7582764011,0.10515899286552051,-3870.6832665445763,-0.08369755196996954,0.0,Moderate Surplus
15500,Architecture and Engineering,1300,37,923.4,1121.6026333322195,3616.6033296658334,3688.226190178143,4392.886959358103,0.21464439390537096,-704.66076917996,-0.19105682049991748,0.0,Large Surplus
15540,Architecture and Engineering,1300,50,1701.9999999999998,1238.3801662238775,6640.978554168147,6772.495847410913,4831.995373560491,-0.2723970821246312,1940.5004738504213,0.28652663915508547,57.305327831017095,Severe Shortage
15940,Architecture and Engineering,1300,39,2824.8,3150.124646146059,11010.545471319232,11228.597242711481,12278.6004873671,0.11516732021596536,-1050.0032446556197,-0.09351152436580448,0.0,Moderate Surplus
15980,Architecture and Engineering,1300,12,3514.0,4446.663887040335,13879.774602134023,14154.648308110176,17563.657508130047,0.26541374133191087,-3409.009200019871,-0.2408402615038209,0.0,Large Surplus
16580,Architecture and Engineering,1300,17,1227.8,896.0821446331016,4818.607202677356,4914.034430958115,3516.751813259192,-0.27017254875948715,1397.2826176989229,0.28434530472479563,56.869060944959124,Severe Shortage
16620,Architecture and Engineering,1300,54,1327.7999999999995,1355.8011601968158,5230.419857104342,5334.002583131642,5340.720974980066,0.02108838695346911,-6.7183918484242895,-0.0012595404189849231,0.0,Balanced
16700,Architecture and Engineering,1300,45,10992.0,12287.718362736994,42983.93170363117,43835.18130555096,48050.80484873922,0.11787830810926074,-4215.62354318826,-0.09616986670600183,0.0,Moderate Surplus
16740,Architecture and Engineering,1300,37,27129.8,31274.607833347396,106347.03523583953,108453.12157605699,122594.4098828616,0.15277694024089367,-14141.288306804607,-0.13039079098232756,0.0,Large Surplus
16860,Architecture and Engineering,1300,47,5651.6,6345.975424036024,22053.335081671255,22490.077184248403,24762.885279622984,0.12286351193220044,-2272.808095374581,-0.10105826123915707,0.0,Large Surplus
16980,Architecture and Engineering,1300,17,88524.6,96455.50638358666,346882.47969025717,353752.1065728147,377959.6319454476,0.08958985845275386,-24207.525372632896,-0.0684307596275759,0.0,Moderate Surplus
17020,Architecture and Engineering,1300,6,1395.8,1515.5371259587198,5484.7405084778675,5593.359775944289,5955.2427760767405,0.08578387015239995,-361.88300013245134,-0.06469868104834309,0.0,Moderate Surplus
17140,Architecture and Engineering,1300,39,27526.4,29836.786808720528,107338.47927069786,109464.20007213256,116347.77240656533,0.08393348962161874,-6883.572334432771,-0.06288423365718444,0.0,Moderate Surplus
