occ_group,occ_group_code,met2013,dominant_statefip,total_emp,emp_projected,emp_proj_lo,emp_proj_hi,emp_growth_pct,log_wage
Architecture and Engineering,1300,10420,39,7596.799999999999,8104.498604566494,6087.4762430013325,10789.840487169826,0.0668305871638709,11.263842961533513
Architecture and Engineering,1300,10580,36,13814.4,14771.826677333662,11095.460478373658,19666.3188346709,0.06930642498651134,11.442658803720306
Architecture and Engineering,1300,10740,35,13401.8,14501.315602147004,10892.273356749665,19306.17670945266,0.0820423825267505,11.512617860705715
Architecture and Engineering,1300,10900,42,7792.6,8665.348868176616,6508.743840442085,11536.52269131391,0.11199713422690954,11.434351978260198
Architecture and Engineering,1300,11100,48,1887.0,2101.9447513784,1578.8192906724291,2798.40242892236,0.11390818832983562,11.31474169293608
Architecture and Engineering,1300,11260,2,5660.6,6038.482036997673,4535.643441693191,8039.270674577442,0.06675653411258045,11.5380150200629
Architecture and Engineering,1300,11460,26,8822.2,8592.765341600812,6454.224675812394,11439.889363089522,-0.026006512933189934,11.557628088936978
Architecture and Engineering,1300,11700,37,3445.0,3775.0073396398616,2835.4952747187926,5025.817020889987,0.09579313197093224,11.223731829694588
Architecture and Engineering,1300,12060,13,65987.4,74554.87806629928,55999.89230336037,99257.86666463304,0.12983506042516127,11.44532598798444
Architecture and Engineering,1300,12100,34,1640.7999999999995,1845.6348498173445,1386.2989988286138,2457.166889493957,0.1248384018877042,11.496231905164365
Architecture and Engineering,1300,12220,1,858.6,673.7656642713674,506.0809649952866,897.0109562513677,-0.21527409239300324,11.099333080216418
Architecture and Engineering,1300,12260,13,5858.8,6512.65899126695,4891.808712974319,8670.561263778694,0.11160288647281857,11.373621874924282
Architecture and Engineering,1300,12420,48,41569.8,46752.834843542565,35117.13497521835,62243.90365131081,0.12468269858268652,11.607638896435434
Architecture and Engineering,1300,12540,6,6688.200000000001,7765.117325277501,5832.559119093498,10338.008727238794,0.16101751222713134,11.472096940690903
Architecture and Engineering,1300,12580,24,34573.8,36471.95624611553,27394.92941104507,48556.5621454843,0.05490157998587156,11.54093620791244
Architecture and Engineering,1300,12620,23,755.1999999999999,828.5805213400425,622.3659827924632,1103.1221167707604,0.0971670038930649,11.043857414882948
Architecture and Engineering,1300,12700,25,1716.2000000000005,1954.0232051719404,1467.7119980075288,2601.4686066025038,0.13857546041949645,11.408720896916526
Architecture and Engineering,1300,12940,22,9075.0,9791.245267497594,7354.430651848947,13035.47323057457,0.0789250983468423,11.598943541731968
Architecture and Engineering,1300,13140,48,3747.8,4044.165232322059,3037.665989683929,5384.157600561051,0.07907712052992662,11.576974254768071
Architecture and Engineering,1300,13380,53,2762.2,3141.6687437795995,2359.7800153068383,4182.6282245035045,0.13737917014683937,11.368328373884516
Architecture and Engineering,1300,13460,41,1166.8000000000002,910.6392738484694,684.0022086465726,1212.3701891491296,-0.21954124627316654,11.570853596617155
Architecture and Engineering,1300,13780,36,1514.8,1096.6618069757715,823.7280333184806,1460.02936677326,-0.27603524757342784,11.338498515196742
Architecture and Engineering,1300,13820,1,10616.2,12025.197518779263,9032.403827143722,16009.62248068385,0.13272145577318273,11.324730984512987
Architecture and Engineering,1300,13900,38,1719.8000000000002,1733.9579780933732,1302.4159189883221,2308.4870400916966,0.008232339861247238,11.447178569742944
Architecture and Engineering,1300,13980,51,1832.2,1956.1563370440165,1469.3142426654692,2604.3085296823638,0.06765437018012031,11.30341333929788
Architecture and Engineering,1300,14010,17,1380.6,1515.50000312855,1138.327084184497,2017.6452720775158,0.09771114235010141,11.52024637084375
Architecture and Engineering,1300,14020,18,2345.0,2503.856109879892,1880.7042025029614,3333.482963795841,0.06774247756072146,11.318330414173005
Architecture and Engineering,1300,14260,16,11393.2,13536.118680993639,10167.291638074494,18021.171760215668,0.18808751544725258,11.449853543376433
Architecture and Engineering,1300,14460,25,75720.2,79685.5475539572,59853.65675452719,106088.53048053231,0.0523684241979975,11.555592090000406
Architecture and Engineering,1300,14740,53,5469.200000000001,5781.801288624675,4342.844598236544,7697.54141207729,0.05715667531351466,11.393621040403568
Architecture and Engineering,1300,14860,9,8891.4,9708.25368953687,7292.093759234709,12924.983250667587,0.09187008677338447,11.56910841851035
Architecture and Engineering,1300,15180,48,1469.0000000000002,1823.4523817768804,1369.6372343202731,2427.634489842054,0.24128821087602462,11.069735470215097
Architecture and Engineering,1300,15380,36,11600.8,12820.72844443433,9629.945494652851,17068.744359684762,0.10515899286552051,11.26530137762056
Architecture and Engineering,1300,15500,37,923.4,1121.6026333322197,842.4616645193241,1493.2340782717172,0.2146443939053712,11.178923555559985
Architecture and Engineering,1300,15540,50,1701.9999999999998,1238.3801662238777,930.175968867989,1648.704640223108,-0.2723970821246311,11.384003068977911
Architecture and Engineering,1300,15940,39,2824.8,3150.124646146059,2366.1314390383395,4193.885902758613,0.11516732021596536,11.3861566317958
Architecture and Engineering,1300,15980,12,3514.0,4446.663887040335,3339.992033278647,5920.020026185213,0.26541374133191087,11.52017544442774
Architecture and Engineering,1300,16580,17,1227.8,896.0821446331016,673.0680123947624,1192.9897055623428,-0.27017254875948715,11.028692390196992
Architecture and Engineering,1300,16620,54,1327.7999999999995,1355.8011601968158,1018.373591708853,1805.0318674372706,0.02108838695346911,11.365909462481952
Architecture and Engineering,1300,16700,45,10992.0,12287.718362736994,9229.589301391923,16359.126894104946,0.11787830810926074,11.3295230431104
Architecture and Engineering,1300,16740,37,27129.8,31274.607833347396,23491.08087789833,41637.126031519656,0.15277694024089367,11.414859881721055
Architecture and Engineering,1300,16860,47,5651.6,6345.975424036024,4766.608832620802,8448.648818604015,0.12286351193220044,11.33852815595367
Architecture and Engineering,1300,16980,17,88524.6,96455.50638358666,72449.96048070204,128415.0419128562,0.08958985845275386,11.417329700809123
Architecture and Engineering,1300,17020,6,1395.8,1515.5371259587198,1138.3549680003575,2017.6946951739353,0.08578387015239995,11.28160733569664
Architecture and Engineering,1300,17140,39,27526.4,29836.786808720528,22411.10027006996,39722.8978649454,0.08393348962161874,11.438378914444405
Architecture and Engineering,1300,17300,47,2137.1999999999994,2675.835991160199,2009.8822667669453,3562.44660196235,0.2520288186225901,11.084696811910876
Architecture and Engineering,1300,17460,39,20659.4,21930.04195716871,16472.161442173234,29196.33479379798,0.06150430105272696,11.302165107200771
Architecture and Engineering,1300,17660,16,1681.6000000000004,1950.8227712503392,1465.3080781087622,2597.2077419656284,0.16009917414982086,11.46088561023915
Architecture and Engineering,1300,17780,48,2087.6000000000004,2440.2434361455635,1832.9232528099933,3248.7928878213665,0.16892289526037702,11.248182084087292
Architecture and Engineering,1300,17820,8,11084.6,12388.237183990768,9305.091311597967,16492.951588290896,0.11760795914970029,11.48873941647892
Architecture and Engineering,1300,17900,45,7324.4,7793.016700081841,5853.514984422455,10375.152271647696,0.06398021682074183,11.277466194466776
